"Freq [GHz]","dB(St11) []"
2.97,-5.91752362797675
2.9725,-5.9122022230975
2.975,-5.90705829808357
2.9775,-5.90209089373655
2.98,-5.89729907708517
2.9825,-5.89268194107121
2.985,-5.88823860424454
2.9875,-5.88396821046724
2.99,-5.87986992862662
2.9925,-5.87594295235701
2.995,-5.87218649977001
2.9975,-5.8685998131932
3,-5.86518215891702
